id,Title,yoast_score,yoast_keyword
191,"Atendimento ao cliente: 6 dicas essenciais para reduzir a frustração",90,"atendimento ao cliente"
415,"Como se destacar da concorrência com um bom atendimento ao cliente",90,"atendimento ao cliente"
472,"11 noções de atendimento que você deve ensinar a sua equipe",90,"noções de atendimento"
475,"10 dicas de atendimento ao cliente para pequenas empresas",90,"dicas de atendimento ao cliente"
479,"As principais tendências de sucesso no atendimento ao cliente",90,"atendimento ao cliente"
494,"Erros de atendimento ao cliente: sua equipe está cometendo algum?",90,"erros de atendimento"
544,"O prejuízo enorme de um péssimo atendimento ao cliente",90,"péssimo atendimento"
547,"Como melhorar a produtividade da sua empresa com um sistema de atendimento",90,"sistema de atendimento"
556,"Como oferecer um ótimo suporte ao cliente enquanto sua empresa cresce",90,"ótimo atendimento"
562,"Os primeiros passos para implantar um programa de atendimento ao cliente",90,"programa de atendimento ao cliente"
571,"Atender bem: 3 dicas para começar a fazer isso ainda hoje",90,"atender bem"
576,"Como maximizar a produtividade da sua equipe de atendimento",90,"equipe de atendimento"
582,"Problema de atendimento ao cliente: 13 perguntas para identificá-lo",90,"problema de atendimento"
587,"6 dicas da Zappos sobre atendimento ao cliente",90,"atendimento ao cliente"
594,"Atendimento ao cliente: como a tecnologia melhora a produtividade?",90,"Atendimento ao cliente"
599,"Sistema para atendimento ao cliente: 3 grandes benefícios ao utilizá-lo",90,"sistema para atendimento"
604,"Suporte ao cliente: 5 problemas que a tecnologia pode resolver",60,"suporte ao cliente"
654,"Cliente enfurecido: como lidar com um e terminar seu dia bem?",90,"cliente enfurecido"
657,"Empatia melhora o mundo e faz sua empresa crescer!",90,empatia
668,"Fila de atendimento: Como gerenciar suas prioridades?",90,"fila de atendimento"
673,"6 características de um bom profissional de atendimento ao cliente",90,"profissional de atendimento"
678,"Como a tecnologia melhora a comunicação da sua equipe de atendimento",90,"equipe de atendimento"
682,"Seus clientes são espelhos da sua equipe de atendimento",90,"equipe de atendimento"
687,"Gestão de atendimento: qual o momento para contratar um sistema?",90,"gestão de atendimento"
690,"Canal de atendimento: Qual é o mais eficiente para seus clientes?",90,"canal de atendimento"
695,"Geração Z: sua empresa está pronta para atendê-la?",90,"geração z"
701,"O que fazer com o feedback do seu cliente?",90,"Feedback do cliente"
706,"Profissional de atendimento: 6 dicas de ouro para você!",90,"profissional de atendimento"
711,"4 dicas para se tornar o melhor atendente de SAC da sua empresa",90,"Atendente de SAC"
716,"Como evitar que sua empresa apareça no Reclame Aqui?",90,"Reclame Aqui"
721,"Contact center: a oportunidade que você precisava para evoluí-lo!",90,"contact center"
726,"O cliente tem razão sempre? Até que ponto isso é verdade?",90,"cliente tem razão"
730,"Equipe de atendimento ao cliente: como multiplicá-la?",90,"equipe de atendimento ao cliente"
734,"Como diminuir o número de reclamações no atendimento ao cliente?",90,"atendimento ao cliente"
738,"Você perde tempo atrás de números, mas o que fazer com eles?",90,números
744,"Sua equipe de suporte não atende bem? Veja como melhorar isso",90,"atende bem"
747,"Um agente de atendimento ao cliente amigável não é o suficiente",90,"agente de atendimento ao cliente"
751,"Planilhas e e-mails: por que você ainda gerencia seu atendimento assim?",90,planilhas
754,"SAC - Fuja do ""Serviço de Atendimento Catastrófico""",90,SAC
757,"História de Terror de Atendimento ao Cliente (Verdadeira) - Parte 1",90,"história de terror"
763,"Histórias de Terror de Atendimento ao Cliente (Verdadeira) - Parte 2",90,"Histórias de terror"
767,"Se você decepcionar o seu cliente, vai perdê-lo sim!",90,cliente
772,"O atendimento ao cliente no Brasil não vai bem, obrigado!",90,"atendimento ao cliente no Brasil"
775,"Ferramenta de atendimento: como ela pode te ajudar a tomar decisões?",90,"ferramenta de atendimento"
778,"Sucesso no atendimento: 5 métricas que toda empresa deveria implantar",90,"sucesso no atendimento"
